fabric,vrf,displayName,networkId,networkTemplate,networkExtensionTemplate,networkName,secondaryGW3,suppressArp,secondaryGW2,secondaryGW1,loopbackId,enableL3OnBorder,enableIR,rtBothAuto,isLayer2Only,vrfDhcp3,vrfDhcp2,dhcpServerAddr3,gatewayIpV6Address,dhcpServerAddr2,dhcpServerAddr1,tag,nveId,vrfDhcp,secondaryGW4,vlanId,gatewayIpAddress,vlanName,mtu,intfDescription,mcastGroup,trmEnabled
SoAZ-PHX,NA,ADE-Servers-UAT,30710,Default_Network_Universal,Default_Network_Extension_Universal,ADE-Servers-UAT,,false,,,,false,false,true,true,,,,,,,12345,1,,,710,,ADE-Servers-UAT,,,239.1.1.0,false
SoAZ-PHX,NA,ad-tucdmz-PALO-CONN,30115,Default_Network_Universal,Default_Network_Extension_Universal,ad-tucdmz-PALO-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,502,,,,,239.1.1.37,false
SoAZ-PHX,NA,ADE-IAAS-HyperVisor-Mgmt,30726,Default_Network_Universal,Default_Network_Extension_Universal,ADE-IAAS-HyperVisor-Mgmt,,false,,,,false,false,true,true,,,,,,,12345,1,,,726,,ADE-IAAS-HyperVisor-Mgmt,,,239.1.1.0,false
SoAZ-PHX,NA,rtiot-az-data-FW-CONN,30159,Default_Network_Universal,Default_Network_Extension_Universal,rtiot-az-data-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,2127,,,,,239.1.1.39,false
SoAZ-PHX,NA,ZADARA-STORAGE-1001-DOT,30017,Default_Network_Universal,Default_Network_Extension_Universal,ZADARA-STORAGE-1001-DOT,,false,,,,false,false,false,true,,,,,,,12345,1,,,1001,,,,,239.1.1.0,false
SoAZ-PHX,NA,ADOT-Dev-Web-Servers,30014,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-Dev-Web-Servers,,false,,,,false,false,false,true,,,,,,,12345,1,,,402,,,,,239.1.1.0,false
SoAZ-PHX,NA,DMZ-DHS,30129,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-DHS,,false,,,,false,false,false,true,,,,,,,12345,1,,,519,,,,,239.1.1.42,false
SoAZ-PHX,NA,DMZ-COTE,30132,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-COTE,,false,,,,false,false,false,true,,,,,,,12345,1,,,522,,,,,239.1.1.43,false
SoAZ-PHX,NA,ADE-ed-data-vrf,30702,Default_Network_Universal,Default_Network_Extension_Universal,ADE-ed-data-vrf,,false,,,,false,false,true,true,,,,,,,12345,1,,,702,,ADE-ed-data-vrf,,,239.1.1.44,false
SoAZ-PHX,NA,AMVANET,30154,Default_Network_Universal,Default_Network_Extension_Universal,AMVANET,,false,,,,false,false,false,true,,,,,,,12345,1,,,2079,,,,,239.1.1.45,false
SoAZ-PHX,NA,ADOT-dt-hvac-FW-CONN,30091,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-dt-hvac-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,151,,,,,239.1.1.46,false
SoAZ-PHX,NA,DMZ-AZ3D-DB,30127,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-AZ3D-DB,,false,,,,false,false,false,true,,,,,,,12345,1,,,517,,,,,239.1.1.47,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-TRANSIT,30053,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-TRANSIT,,false,,,,false,false,false,true,,,,,,,12345,1,,,1500,,,,,239.1.1.48,false
SoAZ-PHX,NA,DMZ-AZOT,30138,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-AZOT,,false,,,,false,false,false,true,,,,,,,12345,1,,,529,,,,,239.1.1.49,false
SoAZ-PHX,NA,ADE-WIRELESS-FW,30157,Default_Network_Universal,Default_Network_Extension_Universal,ADE-WIRELESS-FW,,false,,,,false,false,false,true,,,,,,,12345,1,,,751,,,,,239.1.1.50,false
SoAZ-PHX,NA,rt-data-VPN-FW-CONN,30163,Default_Network_Universal,Default_Network_Extension_Universal,rt-data-VPN-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,2106,,,,,239.1.1.51,false
SoAZ-PHX,NA,az-data-ADOT-FW-CONN,30030,Default_Network_Universal,Default_Network_Extension_Universal,az-data-ADOT-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,2072,,,,,239.1.1.0,false
SoAZ-PHX,NA,HRIS-DEV-PRES,30035,Default_Network_Universal,Default_Network_Extension_Universal,HRIS-DEV-PRES,,false,,,,false,false,false,true,,,,,,,12345,1,,,304,,,,,239.1.1.0,false
SoAZ-PHX,NA,rt-data-FW-CONN,30164,Default_Network_Universal,Default_Network_Extension_Universal,rt-data-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,2098,,,,,239.1.1.54,false
SoAZ-PHX,NA,ADOT-dt-mvmwifi-FW-CONN,30095,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-dt-mvmwifi-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,155,,,,,239.1.1.55,false
SoAZ-PHX,NA,ic-vdi-1685,30048,Default_Network_Universal,Default_Network_Extension_Universal,ic-vdi-1685,,false,,,,false,false,false,true,,,,,,,12345,1,,,1685,,,,,239.1.1.0,false
SoAZ-PHX,NA,DES-MF-to-Zcloud-PURPLE,30153,Default_Network_Universal,Default_Network_Extension_Universal,DES-MF-to-Zcloud-PURPLE,,false,,,,false,false,false,true,,,,,,,12345,1,,,461,,,,,239.1.1.57,false
SoAZ-PHX,NA,ADE-VLAN713,30713,Default_Network_Universal,Default_Network_Extension_Universal,ADE-VLAN713,,false,,,,false,false,true,true,,,,,,,12345,1,,,713,,ADE-VLAN713,,,239.1.1.0,false
SoAZ-PHX,NA,DMZ-ACA,30140,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-ACA,,false,,,,false,false,false,true,,,,,,,12345,1,,,532,,,,,239.1.1.59,false
SoAZ-PHX,NA,LD-1671-Svrs,30042,Default_Network_Universal,Default_Network_Extension_Universal,LD-1671-Svrs,,false,,,,false,false,false,true,,,,,,,12345,1,,,1671,,,,,239.1.1.0,false
SoAZ-PHX,NA,DMZ-LAND-DB,30134,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-LAND-DB,,false,,,,false,false,false,true,,,,,,,12345,1,,,524,,,,,239.1.1.61,false
SoAZ-PHX,NA,ADOT-New-Internal-DMZ,30024,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-New-Internal-DMZ,,false,,,,false,false,false,true,,,,,,,12345,1,,,1645,,,,,239.1.1.0,false
